practiceimage,PracticeimageCorrAns,congruent,practiceSentence,practiceSentenceCompQ,compRespL,compRespR,compRespCorr,block,image,sentence,ambiguous,critical,Incongruent,Single,imageCorrAns,incongruentambiguous,criticalSentenceCode,compQ,RepeatFlankerIfNeeded.thisRepN,RepeatFlankerIfNeeded.thisTrialN,RepeatFlankerIfNeeded.thisN,RepeatFlankerIfNeeded.thisIndex,practiceFlankerLoop.thisRepN,practiceFlankerLoop.thisTrialN,practiceFlankerLoop.thisN,practiceFlankerLoop.thisIndex,RepeatPracticeSentencesIfNeeded.thisRepN,RepeatPracticeSentencesIfNeeded.thisTrialN,RepeatPracticeSentencesIfNeeded.thisN,RepeatPracticeSentencesIfNeeded.thisIndex,practiceSentenceLoop.thisRepN,practiceSentenceLoop.thisTrialN,practiceSentenceLoop.thisN,practiceSentenceLoop.thisIndex,MixedPractice.thisRepN,MixedPractice.thisTrialN,MixedPractice.thisN,MixedPractice.thisIndex,MixedPracticeTrial.thisRepN,MixedPracticeTrial.thisTrialN,MixedPracticeTrial.thisN,MixedPracticeTrial.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,keyResponseIntroText.keys,keyResponseIntroText.rt,keyResponseIntro2Text.keys,keyResponseIntro2Text.rt,FlankerInstructions_keyresponse.keys,FlankerInstructions_keyresponse.rt,FlankerInstructions2_keyresponse.keys,FlankerInstructions2_keyresponse.rt,PracticeFlankerResponse.keys,PracticeFlankerResponse.corr,PracticeFlankerResponse.rt,SPRInstructions_keyresponse.keys,SPRInstructions_keyresponse.rt,key_resp_5.keys,key_resp_5.rt,SPRinstructions2_keyresponse.keys,SPRinstructions2_keyresponse.rt,IRI_0,IRI_FL_0,space_0,IRI_1,IRI_FL_1,space_1,IRI_2,IRI_FL_2,space_2,IRI_3,IRI_FL_3,space_3,IRI_4,IRI_FL_4,space_4,IRI_5,IRI_FL_5,space_5,IRI_6,IRI_FL_6,space_6,IRI_7,IRI_FL_7,space_7,IRI_8,IRI_FL_8,space_8,IRI_9,IRI_FL_9,space_9,IRI_10,IRI_FL_10,space_10,IRI_11,IRI_FL_11,space_11,IRI_12,IRI_FL_12,space_12,key_resp_practiceCompQ.keys,key_resp_practiceCompQ.corr,key_resp_practiceCompQ.rt,IRI_13,IRI_FL_13,space_13,combinedInstructions_keyresponse.keys,combinedInstructions_keyresponse.rt,keyResponseInstructionsMixed.keys,keyResponseInstructionsMixed.rt,flankerkeyresponse.keys,flankerkeyresponse.corr,flankerkeyresponse.rt,CompQkeyresponse.keys,CompQkeyresponse.corr,CompQkeyresponse.rt,key_resp_3.keys,keyResponsePreStart.keys,keyResponsePreStart.rt,key_resp_2.keys,key_resp_4.keys,IRI_14,IRI_FL_14,space_14,IRI_15,IRI_FL_15,space_15,IRI_16,IRI_FL_16,space_16,IRI_17,IRI_FL_17,space_17,IRI_18,IRI_FL_18,space_18,IRI_19,IRI_FL_19,space_19,key_resp_4.rt,rest_keyresponse.keys,rest_keyresponse.rt,IRI_20,IRI_FL_20,space_20,participant,session,group,level,date,expName,frameRate,
,,0,,,Verdadero,Falso,f,B,single_left,La estudiante lista adivinó la respuesta correcta primero,0,0,0,1,f,0,248,La estudiante fue la primera en responder. ,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,16,16,47,,,,,,,,,,,,,,,,,,0.6176636720192619,0.6062051259796135,0.6176636720192619,0.3515246629831381,0.3229141650372185,0.9691883350024,0.4838634399930015,0.45114485500380397,1.4530517749954015,0.45018872700165957,0.42155280499719083,1.903240501997061,1.018685543036554,0.9869353299727663,2.921926045033615,0.4681338479858823,0.4373500660294667,3.3900598930194974,0.46930916397832334,0.4399005539598875,3.8593690569978207,0.44992601400008425,0.4202437700005248,4.309295070997905,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.6563478499883786,f,1,2.206694084976334,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,0,,,Verdadero,Falso,j,B,incongruent_right,Toni dejó los zapatos que compró en su cuarto cuando volvió,0,1,1,0,j,0,111,Toni solo compró pantalones.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,17,17,25,,,,,,,,,,,,,,,,,,0.9347368199960329,0.922503613983281,0.9347368199960329,0.6517749719787389,0.6234437270322815,1.5865117919747718,0.5340294730267487,0.5011872019967996,2.1205412650015205,0.4516380669665523,0.4215969499782659,2.572179331968073,0.7353295430075377,0.7025468950159848,3.3075088749756105,0.5675526850391179,0.5386034719995223,3.8750615600147285,0.7184598699677736,0.6849242609459907,4.593521429982502,0.8701674549956806,0.8376436599646695,5.463688884978183,0.9852547150221653,0.956615614995826,6.448943600000348,0.5009569270187058,0.47100480197696015,6.949900527019054,0.46914541797013953,0.439870907983277,7.419045944989193,,,,,,,,,,,,,,,,,j,1,0.7741329569835216,j,1,2.071351376012899,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,1,,,Verdadero,Falso,j,B,congruent_left,Después de pintar su casa Julieta tuvo que limpiar,0,0,0,0,f,0,243,Las paredes de la casa están descoloridas. ,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,18,18,42,,,,,,,,,,,,,,,,,,0.5836279450450093,0.5724784000194632,0.5836279450450093,0.5021855449886061,0.4689967849990353,1.0858134900336154,0.3500844149966724,0.3215982820256613,1.4358979050302878,0.4512886820011772,0.41800662502646446,1.887186587031465,0.417788285005372,0.38866420998238027,2.304974872036837,0.41819511796347797,0.3899401600356214,2.723169990000315,0.4672597449971363,0.44074165099300444,3.1904297349974513,0.7019640570506454,0.6728007200290449,3.8923937920480967,0.3513654599664733,0.3233845619834028,4.24375925201457,,,,,,,,,,,,,,,,,,,,,,,f,1,0.5230057130102068,j,1,5.886237470025662,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,1,,,Verdadero,Falso,j,B,congruent_left,La cantante colocó el micrófono que usó en el escenario en su lugar después del concierto,1,1,0,0,f,0,31,La cantante no usó un micrófono durante el show.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,19,19,10,,,,,,,,,,,,,,,,,,0.36650193197419867,0.35018831997876987,0.36650193197419867,0.40035131498007104,0.3716096329735592,0.7668532469542697,0.9535889580147341,0.9235714270034805,1.7204422049690038,0.8010439720237628,0.7690807799808681,2.5214861769927666,0.5021287350100465,0.47255921701435,3.023614912002813,0.685530092974659,0.6567159199621528,3.709145004977472,0.5512797320261598,0.5224990829592571,4.260424737003632,0.6853411249467172,0.6569025649805553,4.945765861950349,0.36658795503899455,0.32114626496331766,5.312353816989344,0.36849735298892483,0.33851031499216333,5.6808511699782684,0.8192793269990943,0.7899856729782186,6.500130496977363,0.33381240302696824,0.3062746970099397,6.833942900004331,0.3011505299946293,0.2687934850109741,7.13509342999896,,,,0.4340964499861002,0.4053136549773626,7.5691898799850605,,,,,f,1,0.4564678479800932,j,1,2.845885697985068,,,,None,None,0.534250675002113,0.5053682330180891,8.103440554987174,0.35131174500565976,0.32172392500797287,8.454752299992833,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,0,,,Verdadero,Falso,j,B,single_left,Cuando era niño mi papá quería ser arquitecto,0,0,0,1,f,0,244,Mi papá quería ser mecánico cuando era menor.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,20,20,43,,,,,,,,,,,,,,,,,,0.35020243999315426,0.3369117380352691,0.35020243999315426,0.4338731300085783,0.40139548503793776,0.7840755700017326,0.40162418998079374,0.36832199001219124,1.1856997599825263,0.5172049020184204,0.48382925597252324,1.7029046620009467,0.4844249499728903,0.47094989800825715,2.187329611973837,0.41770206403452903,0.38734005199512467,2.605031676008366,0.41768763901200145,0.3879755120142363,3.0227193150203675,0.41861934500047937,0.38803528499556705,3.441338660020847,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.505990617966745,j,1,1.9099104279885069,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,0,,,Verdadero,Falso,j,B,incongruent_right,Mientras el padre rezaba la biblia antigua se le cayó al piso,0,1,1,0,j,0,107,El padre no es muy religioso.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,21,21,23,,,,,,,,,,,,,,,,,,0.5336291250423528,0.5219034540350549,0.5336291250423528,0.6351428679772653,0.606402879988309,1.168771993019618,0.384119542024564,0.35521697701187804,1.552891535044182,0.6524500629748218,0.6233345149667002,2.205341598019004,0.8008748880238272,0.771287570009008,3.006216486042831,0.3186636189930141,0.28862410999136046,3.324880105035845,0.6011972879641689,0.5730108970310539,3.926077393000014,0.702219597005751,0.6735718899872154,4.628296990005765,0.5177703580120578,0.4906000340124592,5.146067348017823,0.38463524502003565,0.35174203698989004,5.530702593037859,0.5179546699509956,0.4899882050231099,6.048657262988854,0.5010273070074618,0.4724842289579101,6.549684569996316,,,,,,,,,,,,,,j,1,0.7372278120019473,j,1,1.9268428549985401,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,0,,,Verdadero,Falso,j,B,incongruent_right,El grupo musical que tocó en el salón de conciertos era muy bueno,0,0,1,0,j,0,233,El grupo no tocaba bien.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,22,22,32,,,,,,,,,,,,,,,,,,0.48386596504133195,0.46844709204742685,0.48386596504133195,0.2341877999715507,0.20557125302730128,0.7180537650128826,0.4178372170426883,0.38956431800033897,1.135890982055571,0.36762015795102343,0.3386617270298302,1.5035111400065944,0.4165583880385384,0.3862778509501368,1.9200695280451328,0.5527564389631152,0.519793069048319,2.472825967008248,0.31743963004555553,0.2887680979911238,2.7902655970538035,0.384638677991461,0.3574683940387331,3.1749042750452645,0.41731622198130935,0.3894346000161022,3.592220497026574,0.3341123400023207,0.3056526000145823,3.9263328370288946,0.4677516979863867,0.4391742749721743,4.394084535015281,0.43529064202448353,0.40726883203024045,4.829375177039765,0.416955369990319,0.3885844099568203,5.246330547030084,,,,,,,,,,,j,1,0.7287074080086313,j,1,1.0744885700405575,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,0,,,Verdadero,Falso,j,B,single_right,El chico guapo está bien solo ,0,0,0,1,j,0,258,El chico está contento sin novia.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,23,23,57,,,,,,,,,,,,,,,,,,0.6174784630420618,0.609550504013896,0.6174784630420618,0.40007879195036367,0.37164591799955815,1.0175572549924254,0.35162389499600977,0.3219350549625233,1.3691811499884352,0.3509595729992725,0.32182043499778956,1.7201407229877077,0.40185160702094436,0.36932815494947135,2.121992330008652,0.3839303430286236,0.355404622037895,2.5059226730372757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.435616354981903,f,0,3.2463083359762095,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,1,,,Verdadero,Falso,j,B,congruent_right,La obra de teatro se presentó en el salón de conciertos,0,0,0,0,j,0,253,Los actores presentaron en un anfiteatro.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,24,24,52,,,,,,,,,,,,,,,,,,0.5186768349958584,0.5053075949545018,0.5186768349958584,0.316934050002601,0.28837456804467365,0.8356108849984594,0.41800932196201757,0.38915044703753665,1.253620206960477,0.43494543799897656,0.405768274969887,1.6885656449594535,0.7181567969964817,0.6895324629731476,2.406722441955935,0.40046300302492455,0.3720757950213738,2.8071854449808598,0.5189284919761121,0.48972298798616976,3.326113936956972,0.40052247303538024,0.3716765199787915,3.726636409992352,0.40038670698413625,0.3711604549898766,4.127023116976488,0.4353634649887681,0.4062918819836341,4.5623865819652565,0.35079103003954515,0.3213824469712563,4.913177612004802,,,,,,,,,,,,,,,,,j,1,0.607052567997016,f,0,4.182455422007479,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,0,,,Verdadero,Falso,f,A,incongruent_right,a,0,0,1,0,j,0,315,a,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,25,25,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.5396145720151253,None,0,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,0,,,Verdadero,Falso,j,B,incongruent_left,Antes de comer el pastel los niños cantaron "Cumpleaños Feliz",0,0,1,0,f,0,239,El pastel era para el final del curso.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,26,26,38,,,,,,,,,,,,,,,,,,0.49994690000312403,0.4879085359862074,0.49994690000312403,0.48447633802425116,0.4553334469674155,0.9844232380273752,0.3849311670055613,0.35580132994800806,1.3693544050329365,0.484784453001339,0.45197653298964724,1.8541388580342755,0.43466892500873655,0.40593760198680684,2.288807783043012,0.45127928198780864,0.4189444999792613,2.7400870650308207,0.3509115729830228,0.3223173079895787,3.0909986380138434,0.3335056970245205,0.3059588779578917,3.424504335038364,0.41826705797575414,0.37269008200382814,3.842771393014118,0.6016262699849904,0.5696030399994925,4.444397662999108,,,,,,,,,,,,,,,,,,,,f,1,0.4907410840387456,j,1,2.2430579470237717,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,0,,,Verdadero,Falso,f,B,incongruent_left,La empleada guardó los documentos que recibió en el buzón en una carpeta después de revisarlos,1,1,1,0,f,1,32,La empleada revisó los documentos.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,27,27,11,,,,,,,,,,,,,,,,,,0.3339801779948175,0.3180021030129865,0.3339801779948175,0.3332463370170444,0.28728255501482636,0.6672265150118619,0.6025481830001809,0.5688167779590003,1.2697746980120428,0.3172227869508788,0.2844928650301881,1.5869974849629216,0.5178021750180051,0.4849576000124216,2.1047996599809267,0.45174341002712026,0.4180220550042577,2.556543070008047,0.3995501159806736,0.3665499130147509,2.9560931859887205,0.5028967619873583,0.47216279502026737,3.458989947976079,0.3672072049812414,0.3382762179826386,3.82619715295732,0.3674915350275114,0.3384888920118101,4.193688687984832,0.5187440100125968,0.49034243501955643,4.7124326979974285,0.40145356697030365,0.3735870700329542,5.113886264967732,0.41632285801460966,0.38795476499944925,5.530209122982342,,,,0.6028094050125219,0.5732807120075449,6.133018527994864,,,,,f,1,0.4575623269774951,f,1,1.7100313020055182,,,,None,None,0.6014116519945674,0.5694193079834804,6.734430179989431,0.7019323179847561,0.6730505850282498,7.436362497974187,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,1,,,Verdadero,Falso,j,B,congruent_left,Los novios tomaron vino durante la fiesta,0,0,0,0,f,0,247,Los novios sólo toman cerveza.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,28,28,46,,,,,,,,,,,,,,,,,,0.4674679919844493,0.4537896649562754,0.4674679919844493,0.28397296799812466,0.2551162380259484,0.751440959982574,0.4678841999848373,0.4383228849619627,1.2193251599674113,0.4838732550269924,0.45148762298049405,1.7031984149944037,0.3340337320114486,0.3043363450560719,2.0372321470058523,0.5694141849526204,0.5362083380459808,2.6066463319584727,0.45095906499773264,0.4227101349970326,3.0576053969562054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.6063197199837305,j,1,1.7244391949498095,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,0,,,Verdadero,Falso,j,B,incongruent_right,La cajera insertó el billete que el cliente le dejó en la caja pero no tenía cambio,0,1,1,0,j,0,119,La caja tenía muchos billetes pequeños.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,29,29,29,,,,,,,,,,,,,,,,,,0.9185315349604934,0.8900319100357592,0.9185315349604934,0.4675874329986982,0.4392767149838619,1.3861189679591917,0.3677849300438538,0.33881997503340244,1.7539038980030455,0.7689953969675116,0.7408406500471756,2.522899294970557,0.5846184730180539,0.5556488150032237,3.107517767988611,0.8688184149796143,0.8395030599785969,3.9763361829682253,0.4010470820358023,0.3722343599656597,4.377383265004028,0.5182046699919738,0.4893475950229913,4.895587934996001,0.6515707049984485,0.6229799020220526,5.54715863999445,0.5016338849673048,0.47180140303680673,6.048792524961755,0.6349772100220434,0.6062315779854544,6.683769734983798,0.551160164992325,0.5219792679999955,7.234929899976123,0.6349671949865296,0.6061852169805206,7.869897094962653,,,,0.41713514301227406,0.38760766497580335,8.287032237974927,,,,,j,1,0.48440563498297706,j,1,2.8962144979741424,,,,None,None,0.3350477200001478,0.30544476298382506,8.622079957975075,0.36792288697324693,0.33938156499061733,8.990002844948322,0.5181145850219764,0.4891878379858099,9.508117429970298,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,1,,,Verdadero,Falso,f,A,congruent_left,a,0,0,0,0,f,0,307,a,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,30,30,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.40546933497535065,None,0,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,0,,,Verdadero,Falso,f,A,single_right,a,0,0,0,1,j,0,302,a,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,31,31,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.7372957990155555,None,0,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,0,,,Verdadero,Falso,f,B,incongruent_right,Sandra acomodó las novelas que Antonia dejó en el librero cuando las encontró,0,1,1,0,j,0,115,Sandra limpió el lío de libros de Antonia.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,32,32,27,,,,,,,,,,,,,,,,,,0.4663854149985127,0.44852231501135975,0.4663854149985127,0.4181559930439107,0.38888910302193835,0.8845414080424234,0.8021401320002042,0.7568301419960335,1.6866815400426276,0.6848423949559219,0.6558123580180109,2.3715239349985495,0.4503594349953346,0.4217900549992919,2.821883369993884,0.635767797997687,0.6029157180455513,3.457651167991571,0.6521503670373932,0.6225587319931947,4.109801535028964,0.38379104796331376,0.354736064968165,4.493592582992278,0.385141717037186,0.3386819129809737,4.878734300029464,0.35067970800446346,0.32174490502802655,5.2294140080339275,0.48420436499873176,0.45558334997622296,5.713618373032659,0.4180583269917406,0.3904567899880931,6.1316767000244,0.3675793479778804,0.3380465470254421,6.49925604800228,,,,,,,,,,,j,1,0.52533171500545,f,1,4.549574439995922,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,0,,,Verdadero,Falso,f,B,single_left,"En la oficina había dos empleados, un periodista y un fotógrafo ",0,0,0,1,f,0,256,Había cuatro personas en la oficina.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,33,33,55,,,,,,,,,,,,,,,,,,0.45007999998051673,0.43322552600875497,0.45007999998051673,0.3174509999807924,0.2882353470195085,0.7675309999613091,0.317539518000558,0.28488660795846954,1.0850705179618672,0.46818576502846554,0.43882228998700157,1.5532562829903327,0.4336721649742685,0.38617242604959756,1.9869284479646012,0.43516900204122066,0.4062029899796471,2.422097450005822,0.5679254999849945,0.5390485799871385,2.9900229499908164,0.450817824981641,0.4221384249976836,3.4408407749724574,0.7858840679982677,0.7561304169939831,4.226724842970725,0.3846951919840649,0.35157071700086817,4.61142003495479,0.33447591500589624,0.30579071497777477,4.945895949960686,,,,,,,,,,,,,,,,,f,1,0.4067774649593048,j,0,1.9435537450481206,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,0,,,Verdadero,Falso,f,B,incongruent_right,Después de que corrí el maratón no me parecía tan imposible,1,1,1,0,j,1,21,Me sentí mejor corriendo el maratón que anticipaba.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,34,34,0,,,,,,,,,,,,,,,,,,0.4836672979872674,0.4772946939920075,0.4836672979872674,0.40117369196377695,0.37175740697421134,0.8848409899510443,0.3502852230449207,0.3212241519941017,1.235126212995965,0.3518967799609527,0.32192703196778893,1.5870229929569177,0.5348423600080423,0.5015161499613896,2.12186535296496,0.35021964699262753,0.32147034304216504,2.4720849999575876,0.651918645016849,0.6226940379710868,3.1240036449744366,0.3842517629964277,0.35106918698875234,3.5082554079708643,0.35106995998648927,0.3213185799540952,3.8593253679573536,0.7025466320337728,0.6734288650332019,4.561871999991126,0.5013688229955733,0.47268907201942056,5.0632408229867,,,,,,,,,,,,,,,,,j,1,0.7558059399598278,f,1,2.8578118999721482,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,0,,,Verdadero,Falso,f,A,single_left,a,0,0,0,1,f,0,305,a,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,35,35,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.4176577900070697,None,0,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,0,,,Verdadero,Falso,f,B,incongruent_left,Las chicas acomodaron la ropa que sus padres les dejaron en su cuarto dentro del clóset antes de dormir,1,1,1,0,f,1,36,Los padres doblaron la ropa para sus hijas.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,36,36,15,,,,,,,,,,,,,,,,,,0.5669367249938659,0.5481627919944003,0.5669367249938659,0.317338929977268,0.28683204599656165,0.8842756549711339,0.40064978803275153,0.36786661500809714,1.2849254430038854,0.38485549995675683,0.35857732698787004,1.6697809429606423,0.4339460110059008,0.3878815430216491,2.103726953966543,0.4179555610171519,0.3859064650023356,2.521682514983695,0.3511004479951225,0.32364696002332494,2.8727829629788175,0.3509096470079385,0.3015482049668208,3.223692609986756,0.5680156400194392,0.5390605630236678,3.791708250006195,0.4012855699984357,0.37178141198819503,4.192993820004631,0.7015086499741301,0.6729072249727324,4.894502469978761,0.46750462299678475,0.4393982770270668,5.362007092975546,0.3184824000345543,0.2884957719943486,5.6804894930101,,,,0.4510868669603951,0.40514767804415897,6.131576359970495,,,,,f,1,0.6392455549794249,f,1,4.298797986994032,,,,None,None,0.3839940750040114,0.3554293849738315,6.5155704349745065,0.43385736003983766,0.3879196100169793,6.949427795014344,0.4519212329760194,0.421912916994188,7.4013490279903635,0.4682270149933174,0.4220981420367025,7.869576042983681,0.3332863069954328,0.2882609269581735,8.202862349979114,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,0,,,Verdadero,Falso,f,B,incongruent_right,El padre metió las copas sucias que su hija dejó en la mesa en el lavaplatos cuando acabó de comer,1,1,1,0,j,1,37,El padre limpió la mesa después de la comida.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,37,37,16,,,,,,,,,,,,,,,,,,0.5989175599534065,0.5810735109844245,0.5989175599534065,0.3527700250269845,0.3201288579730317,0.951687584980391,0.35046031000092626,0.3222351950244047,1.3021478949813172,0.4348129199934192,0.4056477720150724,1.7369608149747364,0.4848777099978179,0.45615748199634254,2.2218385249725543,0.5510319169843569,0.5237465829704888,2.7728704419569112,0.5687601750250906,0.5364873100188561,3.341630616982002,0.43339211301645264,0.40513866499532014,3.7750227299984545,0.4020367749617435,0.37235357699682936,4.177059504960198,0.45106898504309356,0.42206614499446005,4.6281284900032915,0.3669988219626248,0.3376914000255056,4.995127311965916,0.46701622602995485,0.4368279190384783,5.462143537995871,0.336092731973622,0.30567001504823565,5.798236269969493,,,,0.48420777200954035,0.45146172697423026,6.2824440419790335,,,,,j,1,0.5559155720402487,f,1,3.5113508129725233,,,,None,space,0.30041705002076924,0.27181796298827976,6.582861091999803,0.36806304997298867,0.33480306196724996,6.950924141972791,1.0195136180263944,0.9911505299969576,7.970437759999186,0.48419386497698724,0.4557468199636787,8.454631624976173,0.4343141670105979,0.4044861730071716,8.888945791986771,0.35170545300934464,0.3225663530174643,9.240651244996116,13.795448205026332,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,0,,,Verdadero,Falso,j,B,single_right,Subí la escalera para irme a dormir,0,0,0,1,j,0,250,Mi cuarto de dormir está en la planta baja.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,38,38,49,,,,,,,,,,,,,,,,,,0.5172501679626293,0.4975216800230555,0.5172501679626293,0.4016850719926879,0.37245140701998025,0.9189352399553172,0.33396043500397354,0.30558222701074556,1.2528956749592908,0.6183946030214429,0.5888203130452894,1.8712902779807337,0.40112666197819635,0.3681860300130211,2.27241693995893,0.6517646830179729,0.6183798169950023,2.924181622976903,0.4170536900055595,0.3877269229851663,3.3412353129824623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.5224736419622786,j,1,2.3614691349794157,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,0,,,Verdadero,Falso,f,B,single_right,Cuando los amigos tienen una fiesta todos toman vino o cerveza,0,0,0,1,j,0,242,Mis amigos no toman whisky en las fiestas.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,39,39,41,,,,,,,,,,,,,,,,,,0.5169523120275699,0.49837977899005637,0.5169523120275699,0.2999416049569845,0.2709562070085667,0.8168939169845544,0.41849588800687343,0.38859697501175106,1.2353898049914278,0.43478733202209696,0.40569545998005196,1.6701771370135248,0.6012371400138363,0.5681569700245745,2.271414277027361,0.40142950997687876,0.36899690300924703,2.67284378700424,0.45117735501844436,0.4221859020181,3.124021142022684,0.6852921950048767,0.6518583969445899,3.809313337027561,0.43448036001063883,0.4059325179550797,4.2437936970382,0.38388206996023655,0.3560139019973576,4.627675766998436,0.501270070031751,0.4688529339618981,5.128945837030187,,,,,,,,,,,,,,,,,j,1,0.6393868000013754,f,1,4.012105318019167,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
